     |  'а'|  'б'|  'в'|  'г'|  'д'|  'е'|  'ж'|  'з'|  'и'|  'й'|  'к'|  'л'|  'м'|  'н'|  'о'|  'п'|  'р'|  'с'|  'т'|  'у'|  'ф'|  'х'|  'ц'|  'ч'|  'ш'|  'щ'|  'ь'|  'ю'|  'я'|  'є'|  'і'|  'ї'
  'а'|  973| 4912|20564| 3588| 7535|  262| 2516| 8477|    0| 6250| 9039|16819| 9142|12305| 1166| 7921| 8149| 9984|11977|  778|  586| 4058| 1648| 4027| 1447| 1438|    0| 3158| 1363| 3289|  970|  571
  'б'| 5253|  285|  259|   75|   92| 5690|   12|  159| 4194|   45|  309| 2768|  109|  734| 4320|  253| 2309|  286|  225| 8043|    0|   62|   63|   20|   67|   20|    2|   57|   60|   78| 7107|   29
  'в'|13044| 2400| 2339| 1433| 2895| 6987| 1671| 2017|12862|  781| 2082| 1816| 1305| 5329|15057| 3024| 1611| 8541| 2883| 4373|   74|  620|  582| 1048| 1345| 1236|    1|   75| 1641|   33|22057|  622
  'г'| 5623|  169|  173|  276|   96| 1990|    1|  107|  797|   19|  220| 2314|   50| 1326|18206|  157| 1958|  135|  247| 1952|   23|    7|   24|   14|   81|   17|    0|    3|   26|    3| 1000|   16
  'д'| 6284|  581| 2518|  271| 2246| 5092| 1970|  672| 7394|   79| 1539| 1201|  437| 4881|10211| 1144| 2262| 1195|  849| 4407|   24|  185|  658| 1009|  264|   47|  739|  170|  912|    9| 7086|   90
  'е'|  525| 4220| 7288| 1517| 5781|  189| 1526| 4666|    4| 2787| 2679| 3857| 4423|15584| 1025| 4865|16859| 4248| 5090|  282|  320|  719| 1013| 1824| 1348| 1352|    0|  424| 1090|  182|  317|  806
  'ж'| 1955|  272|  275|   48|  618| 4942|   55|  229| 1935|   30|  680|  434|  191| 2050| 1161|  284|   84|  159|  232| 1092|   10|   33|   69|  300|    9|   18|    0|    0|   95|    6|  672|   25
  'з'|14773| 1325| 3080|  914| 2418|  853|  139|  651| 1433|  185| 1145| 1027| 1317| 5744| 1693| 1649| 1597|  611|  925| 2521|   45|  108|  246|  303|  105|   31|  638|   40|  849|   33| 2230|  150
  'и'|  909| 3077|16876| 2480| 4235|  200|  987| 4283|   17| 9028| 6134| 7080|10587|10973|  984| 5461| 3938|10635|10610|  490|  220| 5303| 1742| 2879| 2297| 1698|    0|   78| 1544|  242|  812|  738
  'й'|  335| 1236| 1439|  595| 1532|  103|  556| 1215|    0|  114| 2218|  562| 1428| 2561| 6271| 1949|  720| 2436| 1251|  526|  176|  325|  273|  429| 1084|  267|    0|    3|  307|   34|  467|   59
