     |  'а'|  'б'|  'в'|  'г'|  'д'|  'е'|  'ж'|  'з'|  'и'|  'й'|  'к'|  'л'|  'м'|  'н'|  'о'|  'п'|  'р'|  'с'|  'т'|  'у'|  'ф'|  'х'|  'ц'|  'ч'|  'ш'|  'щ'|  'ь'|  'ю'|  'я'|  'є'|  'і'|  'ї'
  'а'|  486| 2439|10171| 1811| 3837|  131| 1237| 4265|    0| 3146| 4514| 8449| 4565| 6108|  565| 3995| 4135| 5012| 5960|  402|  302| 1990|  814| 2063|  733|  690|    0| 1548|  710| 1607|  518|  271
  'б'| 2688|  151|  127|   42|   43| 2867|    4|   90| 2096|   24|  141| 1363|   55|  366| 2174|  137| 1154|  144|  121| 4007|    0|   30|   32|   13|   34|   12|    1|   33|   36|   40| 3527|    9
  'в'| 6453| 1172| 1184|  688| 1437| 3464|  807| 1027| 6450|  387| 1001|  904|  677| 2668| 7578| 1559|  795| 4293| 1416| 2218|   40|  292|  277|  528|  659|  624|    1|   33|  785|   13|10986|  296
  'г'| 2837|   84|   76|  129|   52| 1024|    0|   56|  398|    7|  120| 1202|   29|  658| 9112|   88|  963|   68|  131|  987|   16|    6|   12|    9|   40|    7|    0|    1|   12|    2|  503|    7
  'д'| 3181|  304| 1257|  133| 1127| 2515| 1031|  342| 3680|   46|  749|  614|  231| 2484| 5069|  535| 1115|  606|  437| 2217|   14|   98|  333|  512|  128|   22|  366|   89|  450|    4| 3554|   47
  'е'|  265| 2089| 3668|  758| 2819|   92|  761| 2354|    2| 1408| 1330| 1918| 2225| 7812|  527| 2468| 8497| 2114| 2520|  153|  147|  345|  505|  913|  665|  644|    0|  207|  573|   96|  166|  409
  'ж'|  988|  127|  130|   28|  314| 2483|   27|  103|  993|   15|  355|  209|  105| 1011|  575|  138|   38|   68|  115|  542|    6|   18|   40|  154|    5|    6|    0|    0|   49|    2|  321|   12
  'з'| 7320|  665| 1545|  417| 1246|  426|   68|  313|  696|   88|  561|  512|  657| 2787|  834|  823|  785|  292|  499| 1244|   18|   56|  128|  153|   53|   16|  302|   18|  381|   20| 1116|   75
  'и'|  461| 1560| 8560| 1240| 2067|  101|  503| 2152|    8| 4489| 3078| 3551| 5269| 5506|  501| 2735| 1986| 5343| 5377|  238|  118| 2670|  845| 1484| 1130|  841|    0|   49|  762|  122|  382|  382
  'й'|  177|  621|  736|  285|  793|   51|  292|  640|    0|   66| 1082|  286|  728| 1229| 3035|  991|  347| 1213|  640|  259|   84|  175|  154|  217|  531|  134|    0|    2|  150|   23|  229|   28
  'к'| 6668|  373|  777|  148|  239|  897|   28|  340| 5110|   71|  267| 1279|  196| 1125| 7506|  421| 2407|  697|  797| 3919|   11|   74|  126|   73|   86|  529|    5|    1|  183|    3| 2905|   41
  'л'| 6941|   57|  200|   26|  121| 3662|    2|  127| 8734|   13|  309| 1576|   61|   98| 7168|  178|   28|   92|  148|  952|   11|   23|   32|   16|    7|   16| 3258| 1226| 2897|    5| 3865|    6
